cmd,returncode,wall_time_sec,cpu_time_sec,peak_memory_bytes,timestamp
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.05738043785095215,0.015625,2256896,2025-11-12T23:09:55.002274
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10802888870239258,0.0,4890624,2025-11-12T23:09:55.516153
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10903573036193848,0.0,4898816,2025-11-12T23:09:56.060812
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.108489990234375,0.0,4890624,2025-11-12T23:09:56.608589
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10788249969482422,0.0,4894720,2025-11-12T23:09:57.156891
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10828661918640137,0.015625,2260992,2025-11-12T23:09:57.694158
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10838437080383301,0.0,4890624,2025-11-12T23:09:58.356516
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10907864570617676,0.0,5349376,2025-11-12T23:09:58.891974
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.1086277961730957,0.0,4890624,2025-11-12T23:09:59.441979
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10812115669250488,0.015625,4890624,2025-11-12T23:10:00.084766
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10784554481506348,0.0,5226496,2025-11-12T23:10:00.630287
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.05752158164978027,0.0,2281472,2025-11-12T23:10:01.172920
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10921120643615723,0.015625,4898816,2025-11-12T23:10:01.677689
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.05804848670959473,0.0,2289664,2025-11-12T23:10:02.234688
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10815572738647461,0.015625,4890624,2025-11-12T23:10:02.726282
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10858702659606934,0.0,4902912,2025-11-12T23:10:03.267757
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10868000984191895,0.0,4902912,2025-11-12T23:10:03.808140
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10923361778259277,0.0,4644864,2025-11-12T23:10:04.331884
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.1093912124633789,0.0,4890624,2025-11-12T23:10:04.933457
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10830426216125488,0.0,4894720,2025-11-12T23:10:05.493050
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.1087188720703125,0.0,4644864,2025-11-12T23:10:06.047251
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10896897315979004,0.0,4997120,2025-11-12T23:10:06.588852
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.1083519458770752,0.0,4894720,2025-11-12T23:10:07.243417
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.1091916561126709,0.0,4993024,2025-11-12T23:10:07.784955
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.05741381645202637,0.0,2301952,2025-11-12T23:10:08.424704
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10843443870544434,0.0,4546560,2025-11-12T23:10:08.915859
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.1093599796295166,0.0,4902912,2025-11-12T23:10:09.470507
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10892534255981445,0.0,4894720,2025-11-12T23:10:10.074498
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10850048065185547,0.0,4890624,2025-11-12T23:10:10.626784
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.1085045337677002,0.0,4894720,2025-11-12T23:10:11.167749
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10769510269165039,0.0,4902912,2025-11-12T23:10:11.729996
C:\Users\biges\AppData\Local\Programs\Python\Python314\python.exe run_energylang.py demo_arithmetic.energylang,0,0.10822057723999023,0.0,4890624,2025-11-12T23:10:12.374769
